Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y,Weight
CSX Corporation,CSX,28.47,32.81,0.1524411661397964,0.0981756575470762,0.2433797551504182,7.182857162400092e-16
Datadog,DDOG,105.7,143.29,0.3556291390728476,0.3181152022375837,0.5791423205933095,4.54427009284689e-16
DexCom,DXCM,80.27,97.68,0.2168929861716708,0.0757100174026072,0.4753918178238085,2.1600625945860633e-16
Diamondback Energy,FANG,135.54,189.38,0.3972259111701344,0.3991688286014521,0.4877453033420245,0.013558390957165427
DoorDash,DASH,205.4,218.7,0.0647517039922103,0.1792282499880872,0.5989062870663721,1.5920908239926795e-15
Electronic Arts,EA,154.74,149.98,-0.030761276980742,0.0927459600388313,0.2493903940371371,4.665107119209757e-16
Exelon,EXC,46.0,47.53,0.0332608695652174,0.1850421395325632,0.2236324953760575,2.336222371558616e-16
Fastenal,FAST,82.42,75.28,-0.0866294588692064,0.2004241392999742,0.2433698810047624,7.852661886039671e-16
Fortinet,FTNT,108.69,113.01,0.0397460667954734,0.3676618419264902,0.4237998368544752,1.5891092782432912e-15
GE HealthCare,GEHC,70.33,89.25,0.2690174889805203,0.1036007858569584,0.3297672931087503,0.008418636130462502
Gilead Sciences,GILD,102.81,115.02,0.1187627662678727,0.1140138447358708,0.2324730717096051,4.597324861601084e-16
GlobalFoundries,GFS,35.88,45.11,0.257246376811594,0.0457636900686284,0.507235827415194,2.008062524845522e-16
Honeywell,HON,214.25,233.86,0.0915285880980163,0.1398415688722088,0.2328092266617148,6.612022012148868e-16
Idexx Laboratories,IDXX,475.07,496.54,0.0451933399288526,0.1515511712487264,0.334925712852101,4.836420775955897e-16
Intel,INTC,20.27,21.58,0.0646275283670447,-0.1003752426630389,0.4324915488739663,6.70329640571598e-16
Intuit,INTU,632.18,697.18,0.1028188174254167,0.2268645222896137,0.3445410999863637,2.4978917643771942e-17
Intuitive Surgical,ISRG,531.82,576.03,0.08312963032605,0.2745435737401205,0.3349048448715904,8.079088585889872e-17
Keurig Dr Pepper,KDP,34.45,38.62,0.1210449927431058,0.0935764841406996,0.1918978559707443,6.615186099705051e-16
KLA Corporation,KLAC,693.29,786.44,0.1343593589983991,0.3879058804638029,0.424053599856029,4.141277406279778e-16
Kraft Heinz,KHC,29.1,31.72,0.0900343642611682,0.0674982858129185,0.2260816349569067,3.5981367758628013e-16
Lam Research,LRCX,73.91,89.77,0.2145853064537952,0.3243210840310823,0.4518529949544193,1.3193370703697807e-16
Linde plc,LIN,452.49,491.57,0.0863665495370062,0.21716612929593,0.2256342078274421,2.159850438789772e-16
Lululemon Athletica,LULU,278.55,332.59,0.1940046670256685,0.1142412613764293,0.3943803094747752,1.4654569977523853e-16
Marriott International,MAR,247.27,271.87,0.0994863913940227,0.2787931604395336,0.3390584083099285,3.3581573585623077e-17
Marvell Technology,MRVL,58.37,103.36,0.7707726571869111,0.3301609104316066,0.5640358261736984,0.21991973728505637
MercadoLibre,MELI,2246.54,2474.37,0.1014137295574528,0.3443275299468022,0.5121938463819656,9.039217812424802e-16
Meta Platforms,META,599.27,703.89,0.1745790712032973,0.304582647854924,0.441005365974191,1.0847260591575404e-16
Microchip Technology,MCHP,47.78,58.82,0.2310590205106739,0.1306357558049673,0.4326732362801336,1.6474374823792658e-16
Micron Technology,MU,80.42,123.77,0.5390450136781895,0.2241667063481924,0.468576136031223,0.1643455906652948
Microsoft,MSFT,436.17,505.93,0.1599376389939701,0.2181088578648148,0.271704570205175,4.252257762248474e-16
MicroStrategy,MSTR,386.53,502.79,0.3007787235143457,1.139736853774291,0.9508427941612662,2.5044084954410457e-15
Mondelez International,MDLZ,67.8,72.63,0.0712389380530973,0.1007967702267622,0.1862450996927006,3.831032646422227e-16
MongoDB Inc.,MDB,162.66,268.21,0.6488995450633221,0.2224746420325775,0.673492922882777,0.05991714509351412
Monster Beverage,MNST,59.09,58.06,-0.0174310374005753,0.1618061016397807,0.2423884259257689,4.999140755133265e-16
"Netflix, Inc.",NFLX,1134.06,1096.58,-0.0330493977390967,0.2956296742389674,0.4462410244472884,1.65403825057577e-15
Nvidia,NVDA,113.82,163.12,0.4331400456861713,0.6830858616565554,0.5306953523606337,0.014616227750416481
NXP Semiconductors,NXPI,184.31,235.03,0.2751885410449786,0.2140551286757161,0.4060709234327005,3.6878530272410496e-16
O'Reilly Automotive,ORLY,1370.16,1460.44,0.065890115023063,0.2821126628246291,0.2249044398205564,1.4058904950338248e-16
Old Dominion Freight Line,ODFL,156.23,167.01,0.0690008321065096,0.2055034470014833,0.3380729663429589,3.540323341883022e-16
Onsemi,ON,39.96,54.75,0.3701201201201201,0.3114312776231288,0.5196712292956842,4.090137952532781e-16
Paccar,PCAR,90.29,102.16,0.1314652785469043,0.2039097728469981,0.2588981704706049,3.322460534445122e-16
Palantir Technologies,PLTR,123.77,93.41,-0.2452936899087016,0.7947962404351211,0.7342545151371039,6.218090768801787e-15
Palo Alto Networks,PANW,188.13,211.2,0.1226279700207302,0.4190501644539923,0.4064794799026919,2.8232063617174727e-16
Paychex,PAYX,146.41,144.96,-0.0099036951027934,0.2138398593725016,0.2355050440754254,5.372961285107073e-16
PayPal,PYPL,68.54,82.32,0.2010504814706739,-0.0620713942289894,0.4245280207521987,1.763022094823661e-16
PDD Holdings,PDD,110.85,151.15,0.3635543527289131,0.4281586709947921,0.7426988215755392,3.8412414743522073e-16
PepsiCo,PEP,131.99,151.55,0.148193044927646,0.0431613268639729,0.1736720808527494,6.616024637348745e-16
Qualcomm,QCOM,139.44,176.86,0.2683591508892715,0.2151542503249413,0.3963337212947453,4.956582518613461e-16
Regeneron Pharmaceuticals,REGN,603.58,800.13,0.3256403459359156,0.0420779373707654,0.2918518789296913,0.22047005230139916
Roper Technologies,ROP,557.59,624.66,0.1202855144460983,0.1227681626573311,0.2131486381172857,3.833790689465787e-16
Ross Stores,ROST,141.47,154.83,0.094436983105959,0.153997695528539,0.3243125367462809,2.663329462524351e-16
Starbucks,SBUX,81.66,92.08,0.1276022532451628,0.0855300868244311,0.3114735734942102,1.5593230014606616e-16
Synopsys,SNPS,477.41,595.21,0.2467480781718021,0.280948195850089,0.3515556222579183,4.467047738166405e-16
Take-Two Interactive,TTWO,233.32,222.15,-0.0478741642379564,0.1732974112049509,0.3320693803041791,1.0617384882061832e-15
T-Mobile US,TMUS,248.3,269.25,0.0843737414418042,0.231232311648994,0.2446621364660067,2.559665427086366e-16
"Tesla, Inc.",TSLA,280.26,289.44,0.0327552986512524,0.5382348814013832,0.6401998328467607,1.7225176198161663e-15
Texas Instruments,TXN,162.42,177.41,0.0922915897057012,0.1422428819642087,0.2973830835008592,1.6356833616824188e-16
Trade Desk (The),TTD,55.5,85.64,0.5430630630630631,0.3331460793277173,0.6719655424401282,0.011473613111325363
Verisk Analytics,VRSK,294.75,294.02,-0.0024766751484309,0.1582355872000734,0.2278427042668283,2.8266829163898054e-16
Vertex Pharmaceuticals,VRTX,500.19,501.36,0.0023391111377677,0.1461550047489125,0.2924219302039248,5.108598685972343e-16
Warner Bros. Discovery,WBD,8.37,13.19,0.5758661887694148,-0.0272227339117706,0.5467413557689457,0.10590235828133983
"Workday, Inc.",WDAY,248.34,298.61,0.2024240959974228,0.1596946975336513,0.3829539873318137,3.8092686221319047e-16
Xcel Energy,XEL,70.89,74.94,0.0571307659754549,0.087526050236891,0.2115057490382365,2.6668478702987144e-16
Zscaler,ZS,226.17,236.83,0.0471326878012114,0.3891059930963985,0.5712061338080042,1.6514565220828072e-15
